0.01 0.999933 0.0066664 -49.99 -50.9899
0.161414 0.982721 0.106492 -2.9376 -3.92033
0.312828 0.936024 0.200502 -1.29557 -2.23159
0.464242 0.862387 0.283622 -0.645189 -1.50758
0.615657 0.76579 0.351486 -0.270443 -1.03623
0.767071 0.651393 0.40071 -0.0238874 -0.67528
0.918485 0.525204 0.429101 0.143193 -0.382011
1.0699 0.3937 0.435785 0.251795 -0.141905
1.22131 0.263416 0.421237 0.313395 0.0499793
1.37273 0.140544 0.387223 0.336031 0.195487
1.52414 0.0305662 0.336654 0.326626 0.29606
1.67556 -0.0620657 0.273362 0.291883 0.353948
1.82697 -0.134163 0.201819 0.238536 0.372699
1.97838 -0.18395 0.126819 0.173308 0.357258
2.1298 -0.211107 0.0531441 0.102704 0.313811
2.28121 -0.216722 -0.014755 0.0327465 0.249468
2.43263 -0.203142 -0.0730509 -0.0312972 0.171845
2.58404 -0.173751 -0.118774 -0.0851542 0.0885964
2.73545 -0.132675 -0.149979 -0.125728 0.00694706
2.88687 -0.0844679 -0.165834 -0.151204 -0.0667364
3.03828 -0.0337613 -0.166622 -0.161066 -0.127305
3.1897 0.0150579 -0.153669 -0.15603 -0.171088
3.34111 0.058144 -0.129192 -0.137894 -0.196038
3.49253 0.0924321 -0.096092 -0.109325 -0.201757
3.64394 0.115808 -0.0577038 -0.0735944 -0.189403
3.79535 0.127201 -0.0175271 -0.0342845 -0.161485
3.94677 0.126587 0.0210464 0.00500959 -0.121577
4.09818 0.114924 0.0549824 0.0409611 -0.0739628
4.2496 0.0940058 0.0818163 0.0707557 -0.0232501
4.40101 0.0662663 0.0998111 0.0922826 0.0260163
4.55242 0.034542 0.108052 0.104258 0.0697165
4.70384 0.0018177 0.106474 0.106281 0.104463
4.85525 -0.0290258 0.095817 0.0988061 0.127832
5.00667 -0.0554421 0.0775268 0.0830636 0.138506
5.15808 -0.07541 0.0535981 0.0609079 0.136318
5.30949 -0.087572 0.0263843 0.034631 0.122203
5.46091 -0.0913109 -0.00161344 0.00674698 0.0980579
5.61232 -0.0867624 -0.0279596 -0.0202299 0.0665325
5.76374 -0.0747644 -0.0504826 -0.0439968 0.0307676
5.91515 -0.0567508 -0.0674425 -0.0626454 -0.00589467
6.06657 -0.0346006 -0.0776561 -0.0748043 -0.0402038
6.21798 -0.0104569 -0.08057 -0.0797292 -0.0692722
6.36939 0.0134679 -0.0762792 -0.0773365 -0.0908043
6.52081 0.0350844 -0.06549 -0.0681802 -0.103265
6.67222 0.0525993 -0.0494339 -0.0533755 -0.105975
6.82364 0.0646563 -0.0297405 -0.0344781 -0.0991345
